Librosa_GMMCQT_Cluster5

CallMeMaybe_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
14,64.71401360544218,4,64.67301225,1,0.041001355442176646,64.67301225,0.041001355442176646,51.74994825,12.964065355442173
15,68.87038548752834,2,68.82685425,2,0.04353123752834165,68.36531625,0.5050692375283319,81.28838025,-12.417994762471665
16,73.49115646258504,3,73.44223425,4,0.04892221258504037,73.90377225,-0.4126157874149641,81.28838025,-7.797223787414964
17,78.57632653061225,0,78.51915225,3,0.05717428061224439,79.44222825,-0.8659017193877503,81.28838025,-2.712053719387754
18,79.94630385487528,4,79.90376625,2,0.042537604875278134,79.44222825,0.5040756048752826,81.28838025,-1.342076395124721
19,82.26829931972789,1,82.21145625,3,0.05684306972788988,83.13453225,-0.866232930272119,81.28838025,0.9799190697278846
20,96.10739229024944,4,96.05759625,1,0.04979604024943285,96.05759625,0.04979604024943285,110.82681225,-14.719419959750567
21,98.40616780045352,2,98.36528625,2,0.04088155045351982,97.90374825,0.50241955045351,110.82681225,-12.420644449546486
22,103.0269387755102,3,102.98066625,4,0.04627252551020433,103.44220425,-0.4152654744898001,110.82681225,-7.7998734744898
23,108.11210884353741,0,108.05758425,3,0.05452459353740835,108.98066025,-0.8685514064625863,110.82681225,-2.71470340646259
24,111.80408163265307,4,111.74988825,3,0.054193382653068056,112.67296425,-0.8688826173469408,110.82681225,0.9772693826530627
25,113.1740589569161,2,113.13450225,2,0.0395567069161018,112.67296425,0.501094706916092,110.82681225,2.3472467069160956
26,117.79482993197279,3,117.74988225,4,0.04494768197278631,118.21142025,-0.41659031802721813,110.82681225,6.968017681972782
27,122.85678004535147,0,122.82680025,3,0.029979795351465555,123.74987625,-0.8930962046485291,125.59602825,-2.7392482046485327
28,125.6431746031746,4,125.59602825,1,0.04714635317459681,125.59602825,0.04714635317459681,125.59602825,0.04714635317459681
29,127.94195011337868,2,127.90371825,2,0.038231863378683784,127.44218025,0.499769863378674,125.59602825,2.3459218633786776
30,132.56272108843538,3,132.51909825,4,0.043622838435368294,132.98063625,-0.41791516156462194,125.59602825,6.966692838435378
31,137.64789115646258,0,137.59601625,3,0.05187490646258652,138.51909225,-0.8712010935374224,125.59602825,12.051862906462574
32,138.55346938775511,4,138.51909225,1,0.03437713775511497,138.51909225,0.03437713775511497,125.59602825,12.957441137755112
33,142.70984126984126,2,142.67293425,2,0.036907019841265765,142.21139625,0.498445019841256,155.13446025,-12.424618980158726
34,147.33061224489796,3,147.28831425,4,0.042297994897950275,147.74985225,-0.41924000510203996,155.13446025,-7.803848005102026
35,152.41578231292516,0,152.36523225,3,0.050550062925168504,153.28830825,-0.8725259370748404,155.13446025,-2.7186779370748297
36,154.25015873015872,4,154.21138425,3,0.03877448015870755,155.13446025,-0.8843015198412729,155.13446025,-0.8843015198412729
37,156.13097505668935,1,156.05753625,3,0.07343880668935299,156.98061225,-0.8496371933106559,155.13446025,0.9965148066893619
38,162.56290249433107,3,162.51906825,1,0.043834244331065975,162.51906825,0.043834244331065975,169.90367625,-7.34077375566892
39,167.64807256235827,0,167.59598625,4,0.05208631235825578,168.05752425,-0.40945168764173445,169.90367625,-2.255603687641724
40,168.5536507936508,4,168.51906225,2,0.03458854365081265,168.05752425,0.4961265436508029,169.90367625,-1.3500254563491865
41,172.71002267573695,2,172.67290425,3,0.037118425736963445,173.59598025,-0.8859575742630454,169.90367625,2.8063464257369617
42,176.88961451247167,3,176.82674625,4,0.06286826247165322,177.28828425,-0.398669737528337,169.90367625,6.985938262471677
43,181.95156462585035,0,181.90366425,3,0.04790037585036089,182.82674025,-0.875175624149648,169.90367625,12.047888375850363
44,184.71473922902496,4,184.67289225,1,0.04184697902496737,184.67289225,0.04184697902496737,199.44210825,-14.727369020975033
45,187.03673469387755,2,186.98058225,2,0.056152443877550695,186.51904425,0.5176904438775409,199.44210825,-12.405373556122441
46,190.24108843537414,1,190.21134825,1,0.029740185374151906,190.21134825,0.029740185374151906,199.44210825,-9.201019814625852
47,192.56308390022676,3,192.51903825,2,0.044045650226763655,192.05750025,0.5055836502267539,199.44210825,-6.879024349773232
48,196.71945578231293,0,196.67288025,3,0.04657553231294287,197.59595625,-0.876500467687066,199.44210825,-2.7226524676870554
49,198.577052154195,4,198.51903225,3,0.05801990419499248,199.44210825,-0.865056095804988,199.44210825,-0.865056095804988
50,199.04145124716553,1,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.04568292271353014,,0.5483275013936132,,6.241346905281556
Proximity Scores,,,,0.09897976485908015,,1.1880441077302697,,13.522931817708521
Percent precision (0.5 sec),0.06
Percent recall (0.5 sec),0.3333333333333333
Percent precision (3 sec),0.5
Percent recall (3 sec),1.0
Percent precision (2 beats),0.12
Percent recall (2 beats),0.5555555555555556
Average time between beats,0.461538
Rand Index Score,0.6415158499263234

Average Distance to Nearest Beat (Average),0.07804412291149199
Average Distance to Nearest Beat (Proximity Score),0.15311342189159666
Average Distance to Nearest Downbeat (Average),0.5081060584685313
Average Distance to Nearest Downbeat (Proximity Score),1.0094841360287972
Average Distance to Nearest GT Segment (Average),4.260750776106341
Average Distance to Nearest GT Segment (Proximity Score),8.864103805459665
Average Percent of Ground Truth Boundaries (0.5),0.21726035868893012
Average Percent of Ground Truth Boundaries Found (0.5),0.27470862470862467
Average Percent of Ground Truth Boundaries (3),0.6613790970933827
Average Percent of Ground Truth Boundaries Found (3),0.7123265623265623
Average Percent of Ground Truth Boundaries (2 beats),0.4394990723562152
Average Percent of Ground Truth Boundaries Found (2 beats),0.511993561993562
Average Rand Index Score,0.7425680708844224
